tract,pop
4012301,2910
4012400,2914
4012500,1662
4012601,2413
4012602,2578
4012800,2030
4013000,1745
4013200,1772
4013400,5474
4013500,1411
4013600,1972
4013700,1579
4013800,3604
4014000,3705
4014100,1621
4014201,4348
4014202,2838
4014300,4065
4014400,2109
4014500,2246
4014700,3054
4014800,2265
4014900,2674
4015000,2458
4015100,2794
4015200,2721
4015300,2145
4015400,2333
4015500,2251
4015600,3218
4015700,1543
4015801,3737
4015802,4398
4015900,4136
4016100,2377
4016300,4382
4016400,3313
4016600,3278
4016800,2684
4016900,5539
4017000,2600
4017100,8
4017200,2101
4017400,2244
4017600,2143
4017800,1925
4017900,1054
4018000,1090
4018101,4090
4018102,3928
4018200,2267
4018300,6031
4018401,2054
4018402,2223
4018501,3611
4018502,3633
4018600,1623
4018700,3088
4018800,1236
4018900,3492
4019000,1969
4019200,1914
4019400,2628
4019600,2643
4019800,2930
4019900,1028
4020200,1387
4020400,2098
4020500,1202
4020600,1712
4020800,2539
4021200,2754
4021400,6194
4021600,4016
4021900,7
4022001,6074
4022002,5569
4022900,27
4023000,1795
4023200,5090
4023500,8278
4023600,2638
4023800,5101
4024000,5464
4024300,5440
4024500,4942
4024600,0
4024700,1509
4024900,5546
4025100,5720
4025301,4591
4025302,2876
4025400,8207
4025500,1507
4025700,1542
4025800,1978
4025900,3516
4026000,2339
4026100,7414
4026200,1465
4026300,6220
4026400,2257
4026500,4494
4026600,1755
4026700,6002
4026901,5304
4026902,4444
4027000,1647
4027100,8726
4027200,1846
4027300,8631
4027400,1735
4027500,6887
4027600,1165
4027700,8757
4027800,2256
4027900,6317
4028000,1551
4028100,5722
4028200,1545
4028300,7415
4028400,3438
4028500,4729
4028700,6232
4028800,4230
4028900,5176
4029100,7039
4029300,1351
4029400,6664
4029500,3670
4029700,2162
4029900,0
4030600,4213
4030902,7992
4030903,6743
4030904,3712
4031700,6151
4032000,4645
4032700,4255
4032800,2409
4032900,4018
4033000,6170
4033100,0
4033401,3128
4033402,12575
4033700,3619
4033900,3400
4034700,3268
4035100,4240
4035200,2414
4035300,2690
4035700,4947
4035800,3927
4036100,2426
4036300,2397
4036500,3885
4036600,2592
4036700,2676
4036800,2362
4037100,1597
4037300,2532
4037500,3783
4037600,5598
4037700,4227
4037900,6214
4038100,6808
4038301,0
4038302,56
4038400,2333
4039400,2814
4039800,1657
4039900,4132
4040000,1267
4040100,7527
4040200,1368
4040300,6777
4040400,3918
4040500,3303
4040700,8304
4040900,5094
4041100,3947
4041300,4464
4041400,4033
4041500,4278
4042400,2161
4042600,512
4042700,4604
4043200,1166
4043400,1956
4043701,3381
4043702,6476
4043900,4790
4044000,3669
4044301,4033
4044302,5223
4044400,3236
4044601,3367
4044602,4596
4044800,2571
4045000,1943
4045200,1153
4045400,4773
4045500,12330
4045600,1338
4045700,3355
4045800,2016
4045900,3975
4046000,6006
4046100,3089
4046200,7296
4046300,4284
4046400,1643
4046500,4247
4046600,3058
4046700,7112
4046800,3829
4046900,8570
4047000,3247
4047100,4425
4047200,3760
4047300,3997
4047500,4835
4047600,1326
4047800,5294
4047900,5456
4048000,2506
4048100,6781
4048200,1452
4048300,4047
4048400,4979
4048500,4598
4048900,1486
4049200,4750
4049301,2134
4049302,2811
4049500,1358
4049600,3030
4049700,3021
4049900,5071
4050000,4323
4050201,1410
4050202,1344
4050400,1831
4050500,1657
4050600,1553
4050700,3442
4050800,1837
4051000,1540
4051100,2097
4051200,2619
4051300,2367
4051500,2852
4051600,1866
4051700,1957
4051800,1931
4052000,1521
4052100,1983
4052200,1532
4052400,1739
4052500,2063
4052600,1802
4052800,1442
4053000,2240
4053100,3114
4053200,1675
4053401,1907
4053500,1123
4053601,1577
4053800,1755
4053900,4147
4054000,4222
4054200,5074
4054500,3722
4054700,4643
4054800,2319
4054900,5308
4055100,4573
4055200,3064
4055300,2454
4055400,2303
4055500,2147
4055600,2153
4055700,3915
4055800,1732
4055900,1217
4056000,1647
4056100,73
4056200,1517
4056400,1783
4056500,1567
4056600,1487
4056700,4574
4056800,4550
4057700,3625
4057900,1592
4058000,3641
4058100,2662
4058200,4490
4058300,3254
4058500,4062
4058700,3296
4058900,4196
4059000,1074
4059100,5826
4059200,1280
4059300,3881
4059400,1537
4059500,4700
4059600,1304
4059800,1643
4059900,1525
4060000,1056
4060100,2111
4060300,1706
4060600,1381
4060701,25
4060800,1413
4061000,1268
4061200,1597
4061301,5295
4061302,19
4061400,1234
4061601,2180
4061602,1152
4061800,1583
4061900,2783
4062000,1440
4062100,2746
4062200,1983
4062300,1789
4062400,1
4062500,2388
4062600,2620
4062700,2879
4062900,2782
4063000,1579
4063200,2134
4063301,1416
4063302,1476
4063500,2513
4063700,3148
4063800,3425
4063900,2747
4064101,1960
4064102,113
4064500,1979
4064600,2829
4065000,2650
4065400,2788
4065501,0
4065600,4853
4065702,1675
4065703,2597
4065900,1666
4066000,3233
4066100,1495
4066300,2601
4066400,9612
4066501,3275
4066701,2575
4066900,1706
4067100,2100
4067700,1786
4067900,4094
4068000,4708
4068200,1102
4068300,4210
4068700,4630
4069000,3252
4069300,2883
4069400,3314
4069500,2128
4069701,3616
4069702,3911
4070300,2010
4070700,2303
4070900,2483
4071100,5272
4071303,4973
4071304,6136
4071305,4871
4071306,5811
4071600,0
4071701,5161
4071702,3921
4071900,2630
4072100,4963
4072300,2127
4072900,1363
4073100,1515
4073700,2042
4073900,5028
4074100,3015
4074300,4221
4074500,3571
4074700,3386
4074900,1453
4075701,4678
4075702,4481
4076901,4056
4076902,1371
4077300,2234
4077500,2273
4077902,5263
4077903,2972
4077904,6155
4077905,2455
4077906,3633
4077907,3193
4077908,3755
4078800,1818
4079000,2549
4079200,2280
4079300,1
4079701,7055
4079702,4502
4079900,3425
4080301,4382
4080302,3504
4080900,6850
4081400,3543
4081800,3478
4083700,5388
4083800,4970
4084000,6478
4084500,5318
4084601,2730
4084602,1053
4084900,7642
4085300,5764
4085500,6649
4085700,5953
4085900,5873
4086100,2370
4086300,7277
4086400,2634
4086500,4514
4086900,2131
4087100,1752
4088400,7337
4088901,10266
4089200,7430
4090700,1355
4091601,4079
4091602,0
4091800,17
4091900,5766
4092200,2206
4092500,3681
4092800,3246
4092900,6496
4093401,3789
4093402,3657
4093800,5218
4093900,4400
4094201,3380
4094202,4700
4094203,5369
4094500,3971
4094700,2577
4095400,5368
4096400,4441
4097202,2795
4097203,6865
4097204,3544
4097300,2016
4098100,2249
4098700,2444
4099100,6507
4099200,3803
4099701,2670
4099703,3892
4099704,6868
4099705,2632
4099801,7608
4099802,5283
4099900,0
4100801,2327
4100802,8106
4101001,9943
4101002,4138
4101700,5689
4102900,3319
4103201,6456
4103202,6197
4103300,4116
4103900,6151
4104700,7314
4105900,3556
4107201,2443
4107202,0
4108500,2613
4109300,3034
4109700,1887
4109900,3277
4111300,2559
4112300,2102
4112900,2242
4113300,1537
4113900,3322
4114100,2406
4114700,1673
4115100,1116
4115500,2114
4115700,3388
4115900,3991
4116100,4589
4116300,9104
4116700,2067
4117100,2743
4117500,4990
4118100,1840
4118500,2114
4118700,2521
4118900,2468
4119100,3273
4119300,2252
4119500,1349
4119900,1507
4120100,1668
4120300,1642
4120500,3024
4120700,2794
4121100,0
4121500,4101
4122300,3533
4122701,10910
4122702,6427
